"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"United Kingdom","GBR","Men","2011","Crude","0.092168702008424","0.0835622621864596","0.101243977348391","0.512214822850561","0.477920419774262","0.545818885184093"
"United Kingdom","GBR","Men","2012","Crude","0.0950270077876457","0.0861736985050643","0.10417305140456","0.515225254373557","0.48123468410131","0.549266820647169"
"United Kingdom","GBR","Men","2013","Crude","0.097893765512382","0.0887462141914635","0.107397323283692","0.517749668510552","0.483798207114816","0.55156789580656"
"United Kingdom","GBR","Men","2014","Crude","0.100729682520857","0.0913185134177453","0.110795396637561","0.519485940853427","0.484995497042077","0.554721419991099"
"United Kingdom","GBR","Men","2015","Crude","0.103608119326421","0.0936423661226501","0.114242048069101","0.520559253533623","0.484402843899821","0.55747542687574"
"United Kingdom","GBR","Men","2016","Crude","0.106604046215248","0.0961413875550354","0.117961818317031","0.521352945302639","0.482212536036384","0.560742004718294"
"United Kingdom","GBR","Men","2017","Crude","0.109793310739092","0.0981587450787602","0.122372995806356","0.522175675982908","0.478071594333682","0.565891544457735"
"United Kingdom","GBR","Men","2018","Crude","0.113236952365146","0.0992765772406185","0.128283138321078","0.523206235993296","0.473207272977391","0.573244517931565"
"United Kingdom","GBR","Men","2019","Crude","0.11684389551536","0.0995336348878005","0.135238906288638","0.524161547038107","0.465412603191193","0.58177042130981"
"United Kingdom","GBR","Men","2020","Crude","0.120390387801911","0.0985738407892579","0.143462664139189","0.524960566750731","0.454501983605283","0.594013206137468"
"United Kingdom","GBR","Men","2021","Crude","0.123868179971973","0.0969408414872421","0.153342299495231","0.525775176058552","0.442699044378596","0.606883808336658"
"United Kingdom","GBR","Men","2022","Crude","0.127779876224373","0.0950327356113535","0.164707310140056","0.52660846426836","0.428761366841639","0.621336381571342"
"United Kingdom","GBR","Women","1990","Crude","0.0523844985048472","0.0356571312804638","0.0730992871070815","0.373779524991073","0.268764430141769","0.487222936218984"
"United Kingdom","GBR","Women","1991","Crude","0.0532897238357338","0.0368004209245988","0.073897696480683","0.378682384694888","0.277324533166283","0.487185144358958"
"United Kingdom","GBR","Women","1992","Crude","0.054153581231547","0.0375020570166516","0.0747205107641573","0.383864286201854","0.285547689826135","0.486570121850701"
"United Kingdom","GBR","Women","1993","Crude","0.0548627448261019","0.0385857403379261","0.0750195631363736","0.389200933234028","0.294438105327653","0.48620142313816"
"United Kingdom","GBR","Women","1994","Crude","0.0553522839788931","0.0393301977449112","0.0748150169180314","0.394647267481704","0.303585581925572","0.486790276573601"
"United Kingdom","GBR","Women","1995","Crude","0.0557145303696649","0.0401069667713531","0.0745704900295874","0.400246708383798","0.314037527975546","0.488354629837541"
"United Kingdom","GBR","Women","1996","Crude","0.0559153155349465","0.0408665082818798","0.0736754679402171","0.406160707199667","0.324097419123232","0.489606273066291"
"United Kingdom","GBR","Women","1997","Crude","0.0560224073841411","0.0417668489647397","0.0725240107750402","0.412358949594403","0.335016039491492","0.4917770609437"
"United Kingdom","GBR","Women","1998","Crude","0.0560565453043943","0.0426931701643404","0.0717649960423036","0.418733322762832","0.345215899273142","0.493270291444455"
"United Kingdom","GBR","Women","1999","Crude","0.0561079041547743","0.0436053078541462","0.0704299023835854","0.42523483728149","0.355917521324376","0.494005791025738"
"United Kingdom","GBR","Women","2000","Crude","0.0563214393290595","0.0448250375869549","0.06941606676381","0.431708216027072","0.365869647756423","0.49649870382072"
"United Kingdom","GBR","Women","2001","Crude","0.0568277539856225","0.0462231244293551","0.0688938932151143","0.438419528384253","0.376381023483352","0.499841625750622"
"United Kingdom","GBR","Women","2002","Crude","0.0576056572955538","0.0476304055243506","0.0683455156943071","0.445381533580542","0.388598919219851","0.503203443996022"
"United Kingdom","GBR","Women","2003","Crude","0.0585814934723895","0.0492382419409405","0.0687867064846589","0.452273783730315","0.399356762375102","0.506400308653612"
"United Kingdom","GBR","Women","2004","Crude","0.0598405469081752","0.0510059247555423","0.0692214162868881","0.458525559334306","0.409606239313729","0.508886317620312"
"United Kingdom","GBR","Women","2005","Crude","0.0614160015380046","0.053027942253124","0.0702210684231076","0.463912846304476","0.416919469366239","0.511192066114141"
"United Kingdom","GBR","Women","2006","Crude","0.0633813573273048","0.0553377099287638","0.0718407619339849","0.468736101453051","0.424275443219224","0.513169562623337"
"United Kingdom","GBR","Women","2007","Crude","0.0656466662391296","0.0580101708408588","0.0738221356734754","0.473253623522823","0.431842380500386","0.515309692015303"
"United Kingdom","GBR","Women","2008","Crude","0.0679950787568473","0.0604490198203275","0.0761210589863293","0.477905799026165","0.437648518742944","0.518987498033439"
"United Kingdom","GBR","Women","2009","Crude","0.0702884376253046","0.0627915257235058","0.0782499687543449","0.482788744138307","0.443858889891883","0.521962089059053"
"United Kingdom","GBR","Women","2010","Crude","0.0724265317824267","0.0650395996065654","0.0802401438802971","0.487943667310407","0.44943649583294","0.525517129167571"
"United Kingdom","GBR","Women","2011","Crude","0.0744967098297052","0.0668105114648347","0.0823456218046526","0.493373248631448","0.455930384667385","0.5301981584042"
"United Kingdom","GBR","Women","2012","Crude","0.0765867905287341","0.0687201760791699","0.0847541680779744","0.499038621884699","0.46216791288008","0.535601366275482"
"United Kingdom","GBR","Women","2013","Crude","0.0787574304475849","0.0705368301014469","0.0872831007366058","0.504675014380223","0.466853410968429","0.541603037863831"
"United Kingdom","GBR","Women","2014","Crude","0.0811021963776624","0.072548402208225","0.0897805367092273","0.510046400219365","0.471517135574888","0.548451395190129"
"United Kingdom","GBR","Women","2015","Crude","0.083749570600796","0.0748127025460331","0.0928936801401967","0.515146098714554","0.475152414203246","0.555314947947098"
"United Kingdom","GBR","Women","2016","Crude","0.0867873808610694","0.077356967623827","0.096476730069835","0.520020833718159","0.477529384781429","0.562939799834168"
"United Kingdom","GBR","Women","2017","Crude","0.0902500640229714","0.0797065422456615","0.101142711285408","0.524610496093987","0.477381593822437","0.572583322672123"
"United Kingdom","GBR","Women","2018","Crude","0.0941345776499673","0.0814506528878294","0.107390095168283","0.528903254264323","0.47549464904056","0.582047573783653"
"United Kingdom","GBR","Women","2019","Crude","0.0983572128285986","0.0824855645448747","0.115278997855897","0.532910334393516","0.47153578040691","0.593362559909564"
"United Kingdom","GBR","Women","2020","Crude","0.102610576242047","0.0824636153845737","0.124527355795259","0.536939343339259","0.465028502224651","0.608142961967925"
"United Kingdom","GBR","Women","2021","Crude","0.106881072252889","0.0814785959827269","0.135080608474657","0.540927021293504","0.45785036962736","0.623346633278334"
"United Kingdom","GBR","Women","2022","Crude","0.11162170892056","0.0803870491915352","0.147187985807958","0.544706648064633","0.447971870120328","0.638705143753578"
"United States of America","USA","Men","1990","Crude","0.0717955120147891","0.0585893280215454","0.0867648480330246","0.489591071037171","0.422367081972206","0.56063605088378"
"United States of America","USA","Men","1991","Crude","0.0740010403751451","0.0606781745054062","0.0890605476352193","0.495761382143811","0.430402877472756","0.564574072679714"
"United States of America","USA","Men","1992","Crude","0.0761119415514975","0.0628079318447546","0.0909583204928673","0.502116795192797","0.438124754469904","0.568420953778559"
"United States of America","USA","Men","1993","Crude","0.0780654067950249","0.0647517735869504","0.0930064243708057","0.508509941100198","0.446009507971618","0.572722063745263"
"United States of America","USA","Men","1994","Crude","0.0798390310050442","0.0666240716142438","0.0949693623160302","0.514775507488828","0.453144865022831","0.57743582276056"
